,index,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,jumlah_lantai,listrik
0,52,5,6,353.0,155.0,6700000000.0,Mampang Prapatan,True,True,False,False,2,6600.0
1,75,4,4,90.0,60.0,1299000000.0,Cilandak,True,False,False,False,2,2200.0
2,93,4,6,160.0,109.0,2300000000.0,Kebayoran Baru,True,False,False,False,2,3500.0
3,131,3,4,125.0,72.0,3149480000.0,Mampang Prapatan,True,False,True,False,2,2200.0
4,146,3,4,90.0,87.0,1210000000.0,Jagakarsa,True,True,False,False,2,2200.0
5,345,5,5,160.0,117.0,2700000000.0,Cilandak,True,False,False,False,2,13500.0
6,346,6,6,180.0,130.0,2500000000.0,Jagakarsa,True,False,True,False,2,13500.0
7,348,5,5,145.0,92.0,1850000000.0,Jagakarsa,True,False,False,False,2,13500.0
8,355,4,5,132.0,118.0,2609000000.0,Jagakarsa,True,False,False,False,2,13500.0
9,364,6,6,250.0,202.0,4500000000.0,Tebet,True,False,True,False,2,1300.0
10,365,3,4,245.0,151.0,5950000000.0,Cilandak,True,False,False,False,3,1300.0
11,369,8,8,1000.0,800.0,23000000000.0,Pasar Minggu,True,False,False,False,3,1300.0
12,371,4,5,154.0,144.0,2900000000.0,Jagakarsa,True,False,False,False,3,1300.0
13,373,2,2,441.0,1424.0,42000000000.0,Kebayoran Lama,True,False,False,False,3,1300.0
14,376,6,7,300.0,205.0,7000000000.0,Tebet,True,False,True,True,1,1300.0
15,377,7,6,386.0,815.0,7000000000.0,Pesanggrahan,True,False,False,False,1,1300.0
16,381,3,5,150.0,186.0,4000000000.0,Kebayoran Baru,True,False,False,False,2,1300.0
17,386,9,11,1000.0,1400.0,16500000000.0,Pasar Minggu,True,True,False,False,2,1300.0
18,390,5,5,360.0,450.0,6800000000.0,Pesanggrahan,True,False,False,False,2,10500.0
19,392,5,5,250.0,147.0,3900000000.0,Cilandak,True,False,False,False,2,10500.0
20,399,4,6,250.0,169.0,3500000000.0,Jagakarsa,True,True,True,False,2,10500.0
21,404,4,7,500.0,701.0,6500000000.0,Pasar Minggu,True,False,False,False,2,10500.0
22,406,4,5,273.0,131.0,5404702500.0,Kebayoran Lama,True,True,True,False,3,10500.0
23,414,4,5,300.0,550.0,8500000000.0,Cilandak,True,False,True,False,1,1300.0
24,416,4,6,187.0,238.0,7700000000.0,Tebet,True,False,False,False,2,1300.0
25,418,8,8,200.0,420.0,12000000000.0,Tebet,True,False,False,False,2,1300.0
26,423,7,6,720.0,520.0,16000000000.0,Kebayoran Lama,True,True,True,False,2,2200.0
27,424,5,5,180.0,122.0,2300000000.0,Jagakarsa,True,False,False,False,2,2200.0
28,427,6,7,660.0,670.0,16000000000.0,Pasar Minggu,True,True,True,False,2,2200.0
29,428,3,5,145.0,91.0,3337312500.0,Cilandak,True,False,False,False,2,2200.0
30,432,5,7,400.0,450.0,14800000000.0,Mampang Prapatan,True,True,False,False,2,2200.0
31,433,5,4,160.0,116.0,2700000000.0,Cilandak,True,False,False,False,2,2200.0
32,434,5,6,150.0,150.0,2600000000.0,Jagakarsa,True,False,False,False,2,2200.0
33,441,6,6,250.0,152.0,7500000000.0,Setiabudi,True,False,True,False,2,2200.0
34,444,4,5,433.0,476.0,15500000000.0,Jagakarsa,True,False,False,False,2,16500.0
35,447,7,6,390.0,130.0,5900000000.0,Tebet,True,False,True,False,2,16500.0
36,448,5,5,373.0,200.0,6500000000.0,Cilandak,True,False,False,False,2,16500.0
37,451,4,4,1000.0,647.0,60000000000.0,Kebayoran Baru,True,False,True,False,3,16500.0
38,454,4,5,290.0,232.0,4800000000.0,Pasar Minggu,True,False,True,False,3,16500.0
39,456,4,5,300.0,596.0,23000000000.0,Kebayoran Baru,True,True,False,False,3,16500.0
40,459,4,7,275.0,340.0,4800000000.0,Cilandak,True,False,True,False,2,16500.0
41,462,4,7,200.0,99.0,1950000000.0,Jagakarsa,True,True,False,False,3,16500.0
42,464,6,10,418.0,980.0,17000000000.0,Pasar Minggu,True,False,False,False,2,16500.0
43,465,7,8,1000.0,820.0,21000000000.0,Cilandak,True,True,True,False,2,16500.0
44,467,6,8,400.0,450.0,6300000000.0,Cilandak,True,False,False,False,2,16500.0
45,469,8,11,376.0,931.0,26000000000.0,Cilandak,True,False,False,False,2,16500.0
46,471,6,8,340.0,540.0,8800000000.0,Kebayoran Lama,True,False,False,False,2,16500.0
47,474,6,9,200.0,268.0,9000000000.0,Mampang Prapatan,True,False,False,False,2,16500.0
48,475,5,11,350.0,360.0,10000000000.0,Mampang Prapatan,True,False,False,False,2,16500.0
49,476,4,5,154.0,144.0,3150000000.0,Jagakarsa,True,False,False,False,2,16500.0
50,479,4,7,320.0,342.0,8900000000.0,Cilandak,True,False,False,False,2,16500.0
51,482,2,4,700.0,1295.0,22015000000.0,Mampang Prapatan,True,False,False,False,2,16500.0
52,485,6,8,240.0,1513.0,38000000000.0,Cilandak,True,False,False,False,2,16500.0
53,487,5,6,427.0,1046.0,58000000000.0,Setiabudi,True,True,True,False,2,16500.0
54,488,5,6,180.0,133.0,2600000000.0,Jagakarsa,True,False,False,False,2,16500.0
55,490,5,7,450.0,625.0,35000000000.0,Tebet,True,False,False,False,2,16500.0
56,491,5,7,600.0,1200.0,18000000000.0,Pasar Minggu,True,True,False,False,2,16500.0
57,501,4,5,300.0,600.0,8600000000.0,Cilandak,True,False,False,False,3,16500.0
58,502,6,7,260.0,351.0,8700000000.0,Cilandak,True,False,True,False,2,16500.0
59,530,4,7,500.0,500.0,11000000000.0,Tebet,True,False,False,False,2,16500.0
60,531,6,8,900.0,1100.0,17000000000.0,Jagakarsa,True,True,False,False,2,16500.0
61,533,3,5,150.0,125.0,2900000000.0,Cilandak,True,False,True,False,1,16500.0
62,534,3,4,110.0,56.0,1050000000.0,Jagakarsa,True,False,False,False,3,16500.0
63,535,5,5,200.0,120.0,2300000000.0,Cilandak,True,False,True,False,2,16500.0
64,536,3,5,120.0,200.0,6250000000.0,Kebayoran Baru,True,False,False,False,2,16500.0
65,537,4,5,187.0,376.0,11500000000.0,Jagakarsa,True,False,False,False,2,16500.0
66,538,5,7,300.0,260.0,9800000000.0,Kebayoran Baru,True,False,False,False,2,16500.0
67,539,5,6,108.0,192.0,5900000000.0,Setiabudi,True,False,False,False,2,16500.0
68,540,5,5,400.0,300.0,9500000000.0,Pasar Minggu,True,True,False,True,2,16500.0
69,541,14,15,214.0,214.0,3500000000.0,Kebayoran Baru,True,False,False,False,2,16500.0
70,542,5,6,410.0,170.0,6300000000.0,Cilandak,True,True,False,False,3,16500.0
71,543,5,6,550.0,200.0,12000000000.0,Kebayoran Lama,True,True,False,False,3,16500.0
72,544,7,6,600.0,920.0,10200000000.0,Pesanggrahan,True,False,False,False,2,16500.0
73,545,3,6,100.0,119.0,1200000000.0,Jagakarsa,True,False,False,False,2,16500.0
74,546,4,6,1200.0,2138.0,32000000000.0,Jagakarsa,True,True,True,False,2,16500.0
75,547,6,8,300.0,205.0,5600000000.0,Mampang Prapatan,True,False,False,False,2,16500.0
76,548,4,6,300.0,154.0,4970000000.0,Tebet,True,False,False,False,3,16500.0
77,549,3,4,120.0,78.0,1650000000.0,Cilandak,True,False,False,False,3,16500.0
78,551,3,3,80.0,72.0,1500000000.0,Pasar Minggu,True,False,False,False,2,16500.0
79,553,7,8,400.0,330.0,5500000000.0,Mampang Prapatan,True,False,False,False,2,16500.0
80,555,6,6,650.0,524.0,32000000000.0,Kebayoran Lama,True,True,False,False,2,16500.0
81,556,4,4,275.0,152.0,3900000000.0,Cilandak,True,True,False,False,2,16500.0
82,557,5,5,200.0,250.0,3800000000.0,Jagakarsa,True,False,True,False,2,16500.0
83,558,4,5,150.0,115.0,1650000000.0,Jagakarsa,True,False,True,False,2,16500.0
84,559,5,6,400.0,268.0,9700000000.0,Kebayoran Lama,True,False,False,False,2,16500.0
85,561,4,4,160.0,205.0,2000000000.0,Pasar Minggu,True,False,False,False,2,16500.0
86,562,5,7,600.0,385.0,35000000000.0,Kebayoran Baru,True,True,False,False,2,16500.0
87,563,5,5,260.0,215.0,5900000000.0,Cilandak,True,False,False,False,2,16500.0
88,566,6,7,445.0,247.0,9500000000.0,Tebet,True,True,True,False,2,16500.0
89,567,4,5,165.0,86.0,1900000000.0,Jagakarsa,True,True,False,False,2,16500.0
90,570,6,6,140.0,125.0,2400000000.0,Pesanggrahan,True,False,False,False,2,16500.0
91,572,3,3,130.0,146.0,830000000.0,Pesanggrahan,True,False,True,False,2,16500.0
92,574,3,4,100.0,106.0,1950000000.0,Mampang Prapatan,True,False,False,False,2,16500.0
93,577,5,6,120.0,90.0,3300000000.0,Tebet,True,False,False,False,2,16500.0
94,581,9,18,350.0,558.0,4000000000.0,Jagakarsa,True,False,True,False,2,16500.0
95,582,4,5,225.0,110.0,4950000000.0,Tebet,True,False,True,False,2,16500.0
96,584,5,7,246.0,272.0,6500000000.0,Pancoran,True,False,True,False,2,16500.0
97,585,7,8,536.0,500.0,17750000000.0,Pancoran,True,True,True,False,2,16500.0
98,586,5,5,300.0,700.0,15000000000.0,Pesanggrahan,True,False,False,False,2,16500.0
99,588,3,5,100.0,110.0,1695000000.0,Pesanggrahan,True,True,True,True,2,16500.0
100,589,6,6,160.0,116.0,2300000000.0,Cilandak,True,False,False,False,2,16500.0
101,590,4,5,500.0,368.0,35000000000.0,Kebayoran Baru,True,False,False,False,2,16500.0
102,591,4,6,380.0,213.0,8700000000.0,Pasar Minggu,True,True,True,False,2,16500.0
103,592,4,6,250.0,140.0,5500000000.0,Kebayoran Lama,True,False,True,False,2,16500.0
104,593,5,7,800.0,785.0,52500000000.0,Kebayoran Lama,True,False,False,False,2,16500.0
105,594,5,6,333.0,253.0,13500000000.0,Kebayoran Lama,True,False,False,False,2,16500.0
106,595,7,9,445.0,247.0,9500000000.0,Tebet,True,True,True,False,3,16500.0
107,597,8,8,900.0,520.0,44000000000.0,Kebayoran Lama,True,True,False,False,2,16500.0
108,599,5,6,225.0,110.0,4950000000.0,Tebet,True,False,True,False,2,16500.0
109,600,3,4,95.0,72.0,1300000000.0,Jagakarsa,True,False,True,False,2,16500.0
110,601,5,5,151.0,101.0,3330000000.0,Cilandak,True,False,True,False,2,16500.0
111,602,4,6,246.0,148.0,5700000000.0,Kebayoran Lama,True,False,False,False,4,16500.0
112,603,4,5,90.0,62.0,1200000000.0,Jagakarsa,True,False,False,False,4,16500.0
113,604,7,8,1150.0,445.0,16500000000.0,Cilandak,True,True,True,True,3,16500.0
114,605,6,10,350.0,250.0,10500000000.0,Setiabudi,True,False,False,False,2,16500.0
115,606,4,7,600.0,915.0,10000000000.0,Pasar Minggu,True,False,False,False,2,16500.0
116,607,3,4,180.0,110.0,3000000000.0,Cilandak,True,False,True,False,3,16500.0
117,610,4,5,230.0,105.0,4900000000.0,Cilandak,True,False,False,False,3,16500.0
118,611,7,6,396.0,318.0,6000000000.0,Mampang Prapatan,True,False,True,False,2,16500.0
119,612,6,5,390.0,130.0,5500000000.0,Tebet,True,False,False,False,2,16500.0
120,613,4,4,150.0,107.0,1700000000.0,Jagakarsa,True,False,False,False,2,16500.0
121,614,3,4,119.0,99.0,2252463924.0,Jagakarsa,True,False,True,False,2,16500.0
122,615,4,4,150.0,115.0,1750000000.0,Jagakarsa,True,False,True,False,2,16500.0
123,616,6,6,380.0,230.0,8500000000.0,Cilandak,True,False,False,False,2,16500.0
124,617,4,4,110.0,64.0,1299000000.0,Cilandak,True,True,False,True,2,16500.0
125,618,4,5,370.0,229.0,9500000000.0,Kebayoran Lama,True,True,False,False,2,16500.0
126,619,4,5,290.0,232.0,6650000000.0,Pasar Minggu,True,False,True,False,2,16500.0
127,620,7,8,485.0,482.0,10625000000.0,Pasar Minggu,True,True,True,False,2,16500.0
128,621,5,5,260.0,380.0,9500000000.0,Pasar Minggu,True,True,False,False,2,16500.0
129,622,4,4,180.0,160.0,4200000000.0,Pesanggrahan,True,False,False,False,2,16500.0
130,623,4,8,178.0,158.0,2900000000.0,Tebet,True,False,False,False,2,16500.0
131,626,3,5,262.0,401.0,14000000000.0,Kebayoran Lama,True,True,False,False,2,16500.0
132,627,4,4,278.0,159.0,8250000000.0,Cilandak,True,True,False,False,2,16500.0
133,628,4,5,400.0,151.0,6000000000.0,Pasar Minggu,True,False,False,False,2,16500.0
134,630,4,5,255.0,306.0,6700000000.0,Pasar Minggu,True,True,True,False,2,16500.0
135,633,3,3,80.0,90.0,2065000000.0,Pesanggrahan,True,True,True,False,2,5500.0
136,635,4,5,246.0,148.0,5700000000.0,Kebayoran Lama,True,False,False,False,2,5500.0
137,636,5,5,358.0,505.0,27000000000.0,Kebayoran Lama,True,True,False,False,2,5500.0
138,637,6,6,525.0,525.0,37500000000.0,Kebayoran Lama,True,True,False,False,2,5500.0
