,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
0,1.0,2.0,32.0,20.0,Rumah,550000000.0,0,"open sale !!

rumah cluster murah mandala  johar baru

(cluster 2 lantai -13 unit)",Johar Baru,1,0,0,,,0
1,1.0,2.0,42.0,21.0,Rumah,680000000.0,0,"ingin punya rumah daerah jakarta pusat ???
budget pass passan??? 
cluster johar baru solusinya !!!
kami menawarkan rumah dengan harga termurah di jakarta pusat.",Johar Baru,1,0,0,,,0
2,1.0,1.0,31.0,16.0,lainnya,360000000.0,0,"cluster rawa tengah merupakan hunian untuk keluarga milenial yang berada di lokasi pemukiman penduduk di pangkalan asem, jakarta pusat. lingkungan  yang ramai, menjadikan kawasan tersebut cocok untuk dihuni atau berbisnis.",Johar Baru,1,0,0,,,0
3,1.0,2.0,42.0,21.0,Rumah,680000000.0,0,"di jual.. !!

""rumah cluster modern - johar vi""

jl. johar baru utara vi",Johar Baru,1,0,0,,2.0,0
4,1.0,2.0,50.0,25.0,lainnya,795000000.0,0,"town house mandala merupakan hunian untuk keluarga muda, karena berada di lokasi pusat kota jakarta, yaitu johar baru, jakarta pusat.
hunian ini merupakan hunian sangat cocok untuk para profesional muda yang menginginkan berdekatan dengan lokasi aktivitas sehari hari, sehingga dapat memangkas biaya, tenaga, dan waktu.",Johar Baru,1,0,0,,2.0,0
5,1.0,2.0,42.0,41.0,Rumah,680000000.0,0,"dijual rumah minimalis modern strategis johar, johar baru jakpus
*lokasi dan akses strategis*:
- 5menit ke 3 halte busway cikini,cmp putih
- 5mnit stasiun sentiong&krmat salemba
- 10menit ke stasiun cikini/psr senen",Johar Baru,1,0,0,,2.0,0
6,1.0,2.0,42.0,21.0,Rumah,680000000.0,0,"rumah 2 lantai dengan bahan bangunan & material terbaik
akses mudah ke pintu toll
dekat ke rumah sakit islam cempaka putih
dekat ke pusat perbelanjaan itc cempaka mas
dekat ke pasar senen
dekat ke mall atrium
dekat ke stasiun senen
dekat ke kampus stiami
dll booking segera !! unit terbatas !!",Johar Baru,1,0,0,,2.0,0
7,1.0,2.0,50.0,25.0,Rumah,795000000.0,1,"rumah murah di johar baru jakarta pusat siap huni bebas banjir
di jual rumah murah siap huni daerah johar baru bebas banjir

lingkungan aman, nyaman

ditengah kota jakarta

legalitas dokumen shm

cocok untuk investasi ( dijual kembali atau di sewakan )


2 kamar tidur
kamar mandi
dapur
instalasi ac
air pdam
listrik 2200 watt
carport

makin di tunda semakin mahal

stock unit terbatas
penjualan 3 bulan dari 13 unit sisa 5 unit",Johar Baru,1,0,0,,2.0,0
8,1.0,2.0,42.0,21.0,Rumah,680000000.0,1,"cluster mandala adalah perumahan kecil 2 lantai 2 kamar tidur dengan system one gate. rumah siap huni.
sertifikat hak milik.
start harga 680 juta.
promo disc 5 %
spesifikasi :
lt mulai dari 21 m2
luas bangunan 21 m2
kamar tidur 2
kamar mandi 1
carport",Johar Baru,1,0,0,,2.0,0
9,1.0,2.0,43.0,23.0,Rumah,535000000.0,0,"rumah murah modern di cempaka putih, jakarta pusat
di jual !!

""rumah murah minimalis - cempaka putih tengah""
jakarta pusat",Johar Baru,1,0,0,,2.0,0
