,bathrooms,bedrooms,building_size,car_spaces,deskripsi,land_size,lb,lokasi,lt,price,terdekat,empty,fasilitas,floors_total,price_conditions,year_built,maidrooms,maidbathrooms,electricity,deposit
0,1,2,32,1,"OPEN SALE !!

RUMAH CLUSTER MURAH MANDALA  johar baru

(Cluster 2 lantai -13 unit)",20,32,Johar Baru,20,550.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",,,,,,,,,
1,1,2,42,1,"Ingin Punya Rumah DAERAH JAKARTA PUSAT ???
BUDGET PASS PASSAN??? 
CLUSTER JOHAR BARU SOLUSINYA !!!
Kami menawarkan rumah dengan harga termurah di jakarta pusat.",21,42,Johar Baru,21,680.000.000,"Grand Indonesia
Plaza Indonesia
Masjid Istiqlal
Thamrin City
Shaburi
Stasiun Gambir",01/02/21,Keamanan 24 jam,,,,,,,
2,1,1,31,1,"Cluster Rawa tengah merupakan hunian untuk Keluarga Milenial yang berada di lokasi pemukiman penduduk di Pangkalan Asem, Jakarta pusat. lingkungan  yang ramai, menjadikan kawasan tersebut cocok untuk dihuni atau berbisnis.",16.5,31,Johar Baru,16,360.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",01/02/21,Keamanan 24 jam,,,,,,,
3,1,2,42,1,"DI JUAL.. !!

""RUMAH CLUSTER MODERN - JOHAR VI""

Jl. Johar baru utara VI",21,42,Johar Baru,21,680.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Pendingin ruangan (AC)
Air Panas
Garasi
Keamanan 24 jam
Pagar penuh",2,680000000,2020,,,,
4,1,2,50,1,"Town House Mandala merupakan Hunian untuk Keluarga muda, karena berada di lokasi pusat kota jakarta, yaitu Johar baru, Jakarta pusat.
hunian ini merupakan hunian sangat cocok untuk para profesional muda yang menginginkan berdekatan dengan lokasi aktivitas sehari hari, sehingga dapat memangkas biaya, tenaga, dan waktu.",25,50,Johar Baru,25,795.000.000,"Universitas YARSI
Pasar Pramuka
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol
Pasar Johar Baru",26/09/20,"Kitchen set
Garasi",2,680000000,2020,,,,
5,1,2,42,1,"DIJUAL RUMAH MINIMALIS MODERN STRATEGIS JOHAR, JOHAR BARU JAKPUS
*LOKASI dan AKSES STRATEGIS*:
- 5Menit ke 3 Halte Busway Cikini,Cmp Putih
- 5Mnit Stasiun Sentiong&Krmat Salemba
- 10Menit ke Stasiun Cikini/Psr Senen",41,42,Johar Baru,41,680.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Kitchen set
Garasi",2,680000000,2020,,,,
6,1,2,42,1,"Rumah 2 Lantai dengan bahan bangunan & material terbaik
Akses mudah ke Pintu Toll
Dekat ke Rumah Sakit Islam Cempaka Putih
Dekat ke Pusat Perbelanjaan ITC Cempaka Mas
Dekat ke Pasar Senen
Dekat ke Mall Atrium
Dekat ke Stasiun Senen
Dekat ke Kampus STIAMI
Dll Booking segera !! UNIT TERBATAS !!",21,42,Johar Baru,21,680.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Kitchen set
Garasi",2,680000000,2020,,,,
7,1,2,50,1,"Rumah Murah Di Johar Baru Jakarta Pusat Siap Huni Bebas Banjir
DI JUAL RUMAH MURAH siap huni DAERAH JOHAR BARU BEBAS BANJIR

LINGKUNGAN AMAN, NYAMAN

DITENGAH KOTA JAKARTA

legalitas dokumen SHM

Cocok untuk investasi ( dijual kembali atau di sewakan )


2 kamar tidur
Kamar mandi
Dapur
instalasi AC
Air PDAM
Listrik 2200 Watt
Carport

Makin di tunda semakin mahal

Stock unit terbatas
Penjualan 3 bulan Dari 13 unit sisa 5 unit",25,50,Johar Baru,25,795.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Kitchen set
Pendingin ruangan (AC)
Garasi
Keamanan 24 jam
Pagar penuh",2,680000000,2020,,,,
8,1,2,42,1,"Cluster Mandala adalah perumahan kecil 2 lantai 2 kamar tidur dengan system one gate. Rumah siap huni.
Sertifikat Hak Milik.
Start harga 680 juta.
Promo disc 5 %
Spesifikasi :
Lt mulai dari 21 m2
Luas bangunan 21 m2
Kamar tidur 2
Kamar mandi 1
Carport",21,42,Johar Baru,21,680.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Kitchen set
Pendingin ruangan (AC)
Garasi
Keamanan 24 jam",2,680000000,2020,,,,
9,1,2,43,1,"Rumah Murah Modern Di Cempaka Putih, Jakarta Pusat
DI JUAL !!

""RUMAH MURAH MINIMALIS - CEMPAKA PUTIH TENGAH""
Jakarta Pusat",23,43,Johar Baru,23,535.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Pendingin ruangan (AC)
Keamanan 24 jam
Taman bermain anak",2,680000000,2020,,,,
10,1,2,50,1,"Rumah nyaman di lokasi strategis dengan 2kmr tidur,1kmr mandi,listrik 2200watt.2lt(shm) dengan carpot,dilengkapi intalasi ac only,water heather only,cctv dan akses jalan lebar .lt:25 m2 lb:50m2(UNIT 2a),dengan bahan bangunan struktur beton bertulang,lantai granit,air pdam,dinding hebel,akses terbaik,hunian nyaman,nilai jual tinggi,dekat tol cemput,dekat RS.islam jakarta,RS.persahabatan.pasar johar baru,rsud johar baru,itc cempaka mas,transmart,dan sekolah serta universitas stiami,khusus unit a dan B (sebagian furnished lemari dan kasur) segera dapatkan sebelum kehabisan unit terbatas.one gate. Cara pembayaran:cash keras, bertahap, kpr",25,50,Johar Baru,25,795.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Pendingin ruangan (AC)
Keamanan 24 jam
Taman bermain anak",2,680000000,2020,,,,
11,2,3,120,1,"Bekas Pakai, Gang 1 Motor
Cocok dijadikan Kontrakan /Kosan
2 Lantai, Semi Furnished
Luas tanah 60 (9X7.5)
Luas bangunan 120
Air PAM
Listrik 2200 watt
Sertikat SHM
Hadap Barat",60,120,Johar Baru,60,740.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",26/09/20,"Pendingin ruangan (AC)
Keamanan 24 jam
Taman bermain anak",2,680000000,2020,,,,
12,4,6,300,1,"- 3 Lantai
- 6 Kamar Tidur
- 4 Kamar Mandi
- 1 Garasi ( Muat 1 atau 2 mobil City Car ) 
- Luas Tanah 148m",148,300,Johar Baru,148,3.000.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",05/10/20,"Air Panas
Garasi
Keamanan 24 jam
Balkon
Pagar penuh",2,680000000,2020,,,,
13,2,4,138,1,"Dijual Rumah Bisa untuk Usaha dan Tempat Tinggal

Alamat : Jl.Rawa Selatan III, Johar Baru, Jakarta Pusat 10550

Luas bangunan : 138m2",64,138,Johar Baru,64,1.800.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",05/10/20,"Air Panas
Garasi
Keamanan 24 jam
Balkon
Pagar penuh",2,680000000,2020,,,,
