,kamar_mandi,kamar,lb,lt,tipe_property,price,sertifikat,deskripsi,lokasi,ada_garasi,pool,taman,electricity,floors_total,gym
0,3,7,220.0,120.0,Rumah,2800000000,1,"['dijual rumah 2.5 lantai', 'kamar tidur 7', 'kamar mandi 3', 'tidak ada garasi', 'full renovasi', 'semi furnish', 'bisa buat usaha', 'bisa buat tempat tinggal', 'bisa kedua nya', 'dijual cepat']",Kelapa Gading,1,0,0,0.0,3.0,0
1,1,1,40.0,21.0,lainnya,695000000,1,"['spesifikasi :', 'ukuran 3.5 x 6', 'listrik 2200 watt', 'air pam', none, 'cara bayar :', '- cash keras', '- cash bertahap', '- kpr', none, 'unit terbatas, segera miliki !']",Cempaka Putih,0,0,0,2200,2.0,0
2,7,>10,387.0,299.0,Rumah,5900000000,0,"['nego sampe deal', 'usaha kost', 'luas tanah 299', 'luas bangunan 387 (imb 200)', none, 'lt. dasar', '3 kt', '1 kt pembantu', '2 kamar mandi', '1 kamar mandi pembantu', none, 'lantai 2', '14 kamar kost', '2 wc', none, 'lantai 3', '5 kamar kost', '3 wc', '2 dari lampu merah duren bangka', none, 'listrik 5000 watt', none, 'jual rumah murah duren bangka', 'jual murah rumah dureng bangka', 'jual rumah duren banka', 'jual rumah duren tiga', 'jual rumah murah duren tiga', 'jual rumah duren tiga marah', 'jual rumah kemang murah', 'jual murah rumah kemang', 'jual kost murah kemang', 'jual murah kost kemang', 'jual kost kemang', 'jual kost murah duren tiga', 'jual kost duren tiga murah', 'jual kost murah duren bangka', 'jual kost duren bangka murah']",Pancoran,1,0,0,5000,3.0,0
3,4,4,209.0,209.0,Apartemen,4300000000,1,"['kode listingan : rj3133at20\t', '( mohon sebutkan kode listing atau capture iklannya)\t', ' ', 'luas tanah                          \t: 209 m²', 'luas bangunan                  \t: 209 m² ( 2 lantai )', 'luas bangunan                  \t: 3+1', 'kamar mandi                      \t: 3+1', 'sertifikat\t: shm', 'hadap\t:', ' ', 'jarang ada yang jual dan lokasi langka\t', 'akses tanah dekat dengan pintu masuk dan keluar tol\t', 'sertifikat dan surat lain nya lengkap\t', ' ', 'andre tjhia,  andre tjhia,  andre tjhia \t', '* siap membantu anda *\t', ' ', 'hub. andre tjhia (nego pemilik)']",Kebon Jeruk,0,0,0,0.0,2.0,0
4,2,3,42.0,42.0,Apartemen,850000001,1,"['dijual apartemen 3 br bassura city jakarta timur', none, 'luas 42 m2', '3 kamar tidur', '2 kamar mandi', 'lantai 16 ( hook )', 'tower c ', 'view garden', 'kondisi fully furnish', 'legalitas ppjb', none, 'harga 850 juta nett', '( pajak masing masing )', none, 'utk info hub :', 'agus supriyanto']",Cakung,0,0,1,0.0,16.0,0
5,3,3,252.0,119.0,Apartemen,1900000000,1,"['kode listingan : rj2457at19\t', '( mohon sebutkan kode listing atau capture iklannya)\t', ' ', 'luas tanah                          \t: 119 m² / 7x17', 'luas bangunan\t: 252 m² (3 lantai)', 'kamar tidur                        \t: 3', 'kamar mandi                      \t: 3', 'sertifikat\t: shm', 'hadap\t: ', ' ', 'jarang ada yang jual dan lokasi langka\t', 'akses tanah dekat dengan pintu masuk dan keluar tol\t', 'sertifikat dan surat lain nya lengkap\t', ' ', 'andre tjhia,  andre tjhia,  andre tjhia \t', '* siap membantu anda *\t', ' ', 'hub. andre tjhia (nego pemilik)']",Cengkareng,0,0,0,0.0,3.0,0
6,5,6,700.0,1200.0,lainnya,39000000000,1,"['for sale luxury house ', 'closed to jl simatupang', none, 'luas tanah 1200m2', 'bangunan 700m2', 'kamar tidur: 6', 'kamar mandi: 5', 'kamar pembantu: 2', 'listrik 20.000kwh', 'price 39m nego']",Pasar Minggu,0,0,0,20000,2.0,0
7,2,4,80.0,96.0,lainnya,1500000000,1,"['keterangan :', '- luas tanah : 96 m²', '- luas bangunan : 80', '- surat : ajb', '- kamar mandi :  2', '- kamar tidur : 4 ', '- ada carport mobil : ada', '- listrik : 1300', '- bebas banjir : ya', '- akses mobil : ya', '-  air : jet pam']",Kramat Jati,1,0,0,1300,2.0,0
8,5,5,195.0,216.0,Rumah,4900000000,1,"['spesifikasi :', '* luas tanah 216 m2', '* luas bangunan 195 m2', '* kamar tidur 5', '* kamar mandi 5', '* 2 lantai', '* hadap timur', '* listrik 2200 watt', '* air jetpam', '* shm dan imb', '* keamanan 24 jam', '* kondisi bangunan siap huni', '* lingkungan aman dan nyaman', none, 'akses dekat :', '* sekolahan', '* rumah sakit', '* tempat ibadah', '* pasar', '* pusat keramaian', '* pusat kuliner', '* tol , dll', none, '-fat-']",Pulo Gadung,1,0,0,2200,2.0,0
9,4,4,190.0,128.0,Rumah,2100000000,1,"['dijual rumah cakep di tanjung barat jakarta selatan', none, 'harga rp. 2.1m nego', none, 'luas tanah 128 m2', 'luas bangunan 190 m2', '2 lantai', 'surat shm + imb lengkap', 'kamar tidur 4', 'kamar mandi 4', 'listrik 2200w', 'air jetpump', 'carport 2 mobil', 'jalan cruis 2 mobil', none, 'hubungi :', 'jimmy ong ', 'b4175', 'met point : gerbang tanjung mas raya', none, 'nb.', '* hanya melayani pembeli langsung, tidak terima mediator/calo/agent', '* bisa titip jual / sewa pada kami']",Jagakarsa,1,0,0,2200,2.0,0
