,desc,fasilitas_total,kamar,km,lantai,lb,lokasi,lt,price,sertifikat,tipe
0,"['DIJUAL RUMAH 2.5 LANTAI', 'Kamar tidur 7', 'Kamar mandi 3', 'Tidak ada garasi', 'Full renovasi', 'Semi furnish', 'Bisa buat usaha', 'Bisa buat tempat tinggal', 'Bisa kedua nya', 'Dijual cepat']","['Stove', 'Refrigerator', 'PAM', 'Oven', 'Microwave', 'Gordyn', 'Garden', 'Garasi', 'Fire Extenguisher', 'Carport', 'AC', 'Swimming Pool', 'Telephone', 'Water heater']",7,3,3,220,Kelapa Gading,120,2.800.000.000,SHM - Sertifikat Hak Milik,Rumah
1,"['Spesifikasi :', 'Ukuran 3.5 x 6', 'Listrik 2200 watt', 'Air PAM', None, 'Cara bayar :', '- Cash keras', '- Cash bertahap', '- KPR', None, 'Unit terbatas, segera miliki !']",,1,1,2,40,Cempaka Putih,21,695.000.000,SHM - Sertifikat Hak Milik,Rumah
2,"['Nego Sampe Deal', 'Usaha Kost', 'Luas Tanah 299', 'Luas Bangunan 387 (IMB 200)', None, 'Lt. Dasar', '3 KT', '1 KT Pembantu', '2 Kamar Mandi', '1 Kamar Mandi Pembantu', None, 'Lantai 2', '14 Kamar Kost', '2 WC', None, 'Lantai 3', '5 Kamar Kost', '3 WC', '2 Dari Lampu Merah Duren Bangka', None, 'Listrik 5000 watt', None, 'Jual Rumah Murah Duren Bangka', 'Jual Murah Rumah Dureng Bangka', 'Jual Rumah Duren Banka', 'Jual Rumah Duren Tiga', 'Jual Rumah Murah Duren Tiga', 'Jual Rumah Duren Tiga Marah', 'Jual Rumah Kemang Murah', 'Jual Murah Rumah Kemang', 'Jual Kost Murah Kemang', 'Jual Murah Kost Kemang', 'Jual Kost Kemang', 'Jual Kost Murah Duren Tiga', 'Jual Kost Duren Tiga Murah', 'Jual Kost Murah Duren Bangka', 'Jual Kost Duren Bangka Murah']","['AC', 'Carport', 'Garasi']",>10,7,3,387,Pancoran,299,5.900.000.000,,Rumah
3,"['Kode Listingan : RJ3133AT20\t', '( Mohon Sebutkan Kode Listing atau Capture iklannya)\t', ' ', 'Luas Tanah                          \t: 209 m²', 'Luas Bangunan                  \t: 209 m² ( 2 lantai )', 'Luas Bangunan                  \t: 3+1', 'Kamar Mandi                      \t: 3+1', 'Sertifikat\t: SHM', 'Hadap\t:', ' ', 'Jarang ada yang jual dan lokasi langka\t', 'Akses tanah dekat dengan Pintu Masuk dan Keluar tol\t', 'Sertifikat dan surat lain nya lengkap\t', ' ', 'Andre Tjhia,  Andre Tjhia,  Andre Tjhia \t', '* Siap membantu Anda *\t', ' ', 'Hub. ANDRE TJHIA (nego pemilik)']",,4,4,2,209,Kebon Jeruk,209,4.300.000.000,SHM - Sertifikat Hak Milik,Rumah
4,"['Dijual Apartemen 3 BR Bassura City Jakarta Timur', None, 'Luas 42 m2', '3 Kamar Tidur', '2 Kamar Mandi', 'Lantai 16 ( Hook )', 'Tower C ', 'View Garden', 'Kondisi Fully Furnish', 'Legalitas Ppjb', None, 'Harga 850 Juta nett', '( Pajak masing masing )', None, 'Utk info hub :', 'Agus Supriyanto']","['AC', 'Swimming Pool']",3,2,16,42,Jatinegara,42,850.000.001,SHM - Sertifikat Hak Milik,Rumah
5,"['Kode Listingan : RJ2457AT19\t', '( Mohon Sebutkan Kode Listing atau Capture iklannya)\t', ' ', 'Luas Tanah                          \t: 119 m² / 7x17', 'Luas Bangunan\t: 252 m² (3 lantai)', 'Kamar Tidur                        \t: 3', 'Kamar Mandi                      \t: 3', 'Sertifikat\t: SHM', 'Hadap\t: ', ' ', 'Jarang ada yang jual dan lokasi langka\t', 'Akses tanah dekat dengan Pintu Masuk dan Keluar tol\t', 'Sertifikat dan surat lain nya lengkap\t', ' ', 'Andre Tjhia,  Andre Tjhia,  Andre Tjhia \t', '* Siap membantu Anda *\t', ' ', 'Hub. ANDRE TJHIA (nego pemilik)']",,3,3,3,252,Cengkareng,119,1.900.000.000,SHM - Sertifikat Hak Milik,Rumah
6,"['For Sale Luxury House ', 'Closed to Jl Simatupang', None, 'Luas tanah 1200m2', 'Bangunan 700m2', 'Kamar tidur: 6', 'Kamar mandi: 5', 'Kamar pembantu: 2', 'Listrik 20.000kwh', 'Price 39M nego']",,6,5,2,700,Pasar Minggu,1200,39.000.000.000,SHM - Sertifikat Hak Milik,Rumah
7,"['Keterangan :', '- Luas Tanah : 96 m²', '- Luas Bangunan : 80', '- Surat : AJB', '- Kamar Mandi :  2', '- Kamar Tidur : 4 ', '- Ada carport mobil : Ada', '- Listrik : 1300', '- Bebas banjir : ya', '- Akses mobil : ya', '-  Air : jet pam']","['AC', 'Garasi']",4,2,2,80,Kramat Jati,96,1.500.000.000,HGB - Hak Guna Bangun,Rumah
8,"['Spesifikasi :', '* Luas Tanah 216 m2', '* Luas Bangunan 195 m2', '* Kamar Tidur 5', '* Kamar Mandi 5', '* 2 Lantai', '* Hadap Timur', '* Listrik 2200 watt', '* Air JetPam', '* SHM dan IMB', '* Keamanan 24 Jam', '* Kondisi Bangunan Siap Huni', '* Lingkungan aman dan nyaman', None, 'Akses Dekat :', '* Sekolahan', '* Rumah Sakit', '* Tempat Ibadah', '* Pasar', '* Pusat Keramaian', '* Pusat Kuliner', '* Tol , dll', None, '-FAT-']","['Carport', 'Garasi']",5,5,2,195,Pulo Gadung,216,4.900.000.000,SHM - Sertifikat Hak Milik,Rumah
9,"['Dijual rumah cakep di tanjung barat jakarta selatan', None, 'Harga Rp. 2.1M nego', None, 'Luas Tanah 128 m2', 'Luas Bangunan 190 m2', '2 Lantai', 'surat SHM + IMB lengkap', 'Kamar Tidur 4', 'Kamar Mandi 4', 'Listrik 2200w', 'Air Jetpump', 'Carport 2 mobil', 'Jalan cruis 2 mobil', None, 'Hubungi :', 'Jimmy Ong ', 'B4175', 'Met Point : Gerbang Tanjung Mas Raya', None, 'NB.', '* Hanya melayani Pembeli Langsung, tidak terima Mediator/Calo/Agent', '* Bisa titip JUAL / SEWA pada kami']",['Carport'],4,4,2,190,Jagakarsa,128,2.100.000.000,SHM - Sertifikat Hak Milik,Rumah
10,"['rumah ideal dan nyaman seperti komplek, lantai granito, PLN 3500W, PAM dan Air Tanah, AC, Car Port, Atap Baja Ringan, hadap utara, Jalan 2 mobil, 300 meter dari sekolah Strada, -+ 1,5 km dekat RSUD Cengkareng, Mall Taman Palem, Green Sedayu Mall, dekat Pasar Bersih, Pasar Cengkareng, dekat Polsek Cengkareng, dekat Bimbel cocok untuk anak sekolah, Dekat pintu masuk dan keluar tol. BEBAS BANJIR.']","['AC', 'Carport', 'Garasi', 'PAM']",2,1,1,70,Cengkareng,100,1.275.000.000,SHM - Sertifikat Hak Milik,Rumah
11,"['Dijual rumah mewah  2 lantai fully furnished', 'Jalan Tebet Utara Jakarta selatan', None, 'Luas tanah 270 m2', 'Luas bangunan 450m2', '5 Kamar tidur', '2 Kamar Pembantu, ', '5 Kamar mandi', 'garase bisa muat 2 mobil plus carpot utk 2 mobil', 'Jalan depan pruis 2 mobil', None, 'Harga 11M nego']","['AC', 'Carport', 'Garasi', 'Garden']",7,5,2,450,Tebet,270,11.000.000.000,SHM - Sertifikat Hak Milik,Rumah
12,['Untuk luas tanah yg diatas 60m2 ada hadiah gratis angsuran selama 1th'],"['Carport', 'Garden']",2,1,1,28,Palmerah,60,160.000.000,HGB - Hak Guna Bangun,Rumah
13,"['Spesifikasi :', '* Luas Tanah 182 m2', '* Luas Bangunan 51 m2', '* Kamar Tidur 4', '* Kamar Mandi 2', '* 1 Lantai', '* Listrik 1300 watt', '* Air JetPam', '* SHM dan IMB', '* Keamanan 24jam', '* Kondisi Bangunan Bagus dan Siap Huni', '* Lingkungan aman dan nyaman', None, 'Akses Dekat :', '* Sekolahan', '* Rumah Sakit', '* Tempat Ibadah', '* Pasar', '* Pusat Keramaian', '* Pusat Kuliner', '* Tol , dll', None, '-FAJ-']",['Garasi'],4,2,1,51,Tebet,182,5.600.000.000,SHM - Sertifikat Hak Milik,Rumah
14,"['*ADIPATI RESIDENCE SUDIMARA @BINTARO*', None, 'CLUSTER Satu-satunya berkonsep TOD di Tangsel dekat Jaksel', None, 'PROMO KHUSUS MINGGU INI SEBELUM HARGA NAIK!', None, '- FREE BIAYA SURAT2 AJB,BPHTB,BBN,PPN,SHM', '- FREE AC 1 UNIT', '- FREE DESIGN LAYOUT SESUAI SELERA', '- JAMINAN SEWA 20-25 JUTA/TAHUN', '*SKB* ', None, 'PAYMENT ONLY : ', None, '- HARD CASH 689 Juta Nego di tempat sampai jadi', '- INSTALMENT 6x', '- KTA KHUSUS PNS/BUMN/TNI/POLRI BUNGA RENDAH DAN FLAT BER-PAYROLL', None, 'didukung Lokasi Yg Strategis:', None, '- 1 menit ke St.Sudimara', '- 5 menit ke Universitas Pembangunan Jaya', '- 8 menit ke Tol Pd.Aren', '- 10 menit ke Mall BXC', '- 12 menit ke RS International Bintaro', None, '- 2 LANTAI 3KT 2KM', '- One Gate Syestem', '- Carport 2 Mobil  ', '- Keamanan 24 jam + CCTV', '- Harga Perdana jelas kami jamin paling termurah', None, 'EKI (NEGO DIRECT OWNER)']","['AC', 'Carport', 'Garden']",3,2,2,48,Cilandak,60,600.000.008,SHM - Sertifikat Hak Milik,Rumah
15,"['Jual rumah hoek di Sunter Pratama\r', 'Uk. 249m, 1 lantai\r', '3 kmr tidur, 2 kmr mandi\r', 'Sertifikat Hak Milik, hadap Timur-Selatan\r', 'Harga 3,5 M\r', 'Contact no sms, tolong telp saja kalau serius ya, thanks)']",,3,2,1,100,Tanjung Priok,249,3.500.000.000,SHM - Sertifikat Hak Milik,Rumah
